headword,alternatives,arabic
SHARJAH CEMENT & INDUSTRIAL DEVELOPMENT,CEMENT|DEVELOPMENT|INDUSTRIAL|SHARJAH,شركة الشارقة للأسمنت و التنمية الصناعية
Short list,Short|list,قائمة المرشحين
Short option position,Short|option|position,مركز (مكشوف) لعقد الخيار
Short term fluctuations,Short|fluctuations|short Term|term,تقلبات قصيرة الأجل
Short Term Investment,Investment|Short Term|short|term,استثمار قصير الأجل
Short Term Notes Payable,Notes|Payable|Short|Term|short Term,أوراق دفع قصيرة الأجل
Shorting,,البيع على المكشوف
SHP,,جنيه سانت هيلينا
SHUAACAPITAL - (P.S.C),CAPITAL|SHUAA|SHUAACAPITAL,شعاع كابيتال - ش.م.ع
SHUAIBA PAPER PRODUCTS CO. (K.S.C.C),PAPER|PRODUCTS|SHUAIBA,شركة الشعيبة للصناعات الورقية ش.م.ك.م
Sierra Leone,,سيراليون
Significant risks,Significant|risks,المخاطر الهامة
Silent partner,,شريك موصي
Simple or multiplelinear regression,,الإنحدار الخطي البسيط أو المتعدد
Simulation,,المحاكاة
Singapore,,سنغافورة
Single Proprietorship,Proprietorship|Single,مشروع فردي
Sleepy partner,,شريك موصي
Slip,,كعب، حافظة ، استمارة ، قسيمة ، انزلاق ، زلة قلم
SLL,,ليون
Slovakia,,سلوفاكيا
Slovenia,,سلوفينيا
Social exclusion,,إقصاء اجتماعي
Social insurance,Social|insurance,الضمان الاجتماعي، التأمين الاجتماعي
SOKOUK HOLDING CO. S.A.K.C,HOLDING|SOKOUK,شركة صكوك القابضة ش.م.ك مقفلة
Sokouk Holding Company,,شركة صكوك القابضة
Sole Proprietorship,,منشأة فردية
Solomon Islands,Islands|Solomon,جزر سلومون
Solvency,,القدرة على إيفاء الدين، ملاءة، الإيفائية، يسر
Somalia,,الصومال
Sort code,,كود البنك
SOS,,سلن صومالي
South Africa,Africa|South,جنوب أفريقيا
Spain,,إسبانيا
Specific risk,Specific|risk,المخاطر المحددة
Speculative stock,,أسهم المضاربة
Spell out,Spell,يوضح/يشرح وجهة نظره
SRG,,جلدر سورينامي
Sri Lanka,Lanka|Sri,سريلانكا
Staff costs,Staff|costs,تكاليف/مصاريف الموظفين
Staff receivables,Staff|receivables,ذمم موظفين
Stake,,حصة
Standard deviation,,انحراف معياري
Standard error,,خطأ معياري
Standard error bands,,نطاق خطأ معياري
State Audit Bureau,Audit|Bureau|State,ديوان المحاسبة (الكويت)
Statement of Cash Flows,Cash|Cash Flows|Flows|Statement,بيان / قائمة التدفقات النقدية
Statement of changes in Financial Position,Financial|Position|Statement,بيان / قائمة التغيرات في المركز المالي
Statement of claim,,صحيفة الدعوى
Statement of compliance,Statement|compliance,بيان الالتزام
Statement of income,Statement|income,بيان الدخل
Static investment,,الاستثمار الراكد
Statutory reserve,Statutory|reserve,احتياطي إجباري
STD,,دوبرا
Stepwise regression,,الانحدار المتدرج
Stock Subscriptions,Stock|Subscriptions,الاكتتابات برأس مال الأسهم
Stock Values,Stock|Values,قيم رأس المال
Stock-option,Stock|option,خيار الموظفين، مشاركة الموظفين في ملكية الشركة
Stop loss,,حدود وقف الخسارة
Stop loss limits,,حدود إيقاف التداول لتفادي الخسارة
Straight Line Depreciation Method,Depreciation|Line|Method|Straight|Straight line,طريقة القسط الثابت لاحتساب الاستهلاك
Structural positions,Structural|positions,المراكز الهيكلية
Sua sponte,,تلقائي
Sub contract,Sub|contract,عقد من الباطن
Subcontract,,عقد من الباطن
Subcontractor,contractor,مقاول من الباطن
Subject matter jurisdiction,,اختصاص نوعي
Submit,,يقدم، يرسل، يخضع
Subordinate loans,Subordinate|loans,قروض مساندة
Subscription,,اكتتاب، اشتراك
Subsequent events,Subsequent|events,أحداث لاحقة
Subsidiary,,شركة تابعة
Subsidiary company,Subsidiary|company,شركة تابعة
Subsidized fuel,Subsidized|fuel,وقود مدعم
Successive governments,Successive|governments,حكومات متعاقبة
Sudan,,السودان
Suit statement,,صحيفة الدعوى
SULTAN CENTER FOOD CO. (KSCC),CENTER|FOOD|SULTAN,شركة مركز سلطان للمواد الغذائية ش.م.ك.م
Sultanate of Oman,Oman|Sultanate,سلطنة عمان
Sundry creditors,Sundry|creditors,دائنون منوعون
Supervision over banks,Supervision|banks,الرقابة على البنوك
Support staff,,موظفو الدعم
SUR,,روبل
Surcharge,,رسم إِضافِي، أجرة إضافية، ضريبة إضافية، سعر بالزيادة
Suriname,,سورينام
Surplus funds,Surplus|funds,الأموال الفائضة
Survive the termination,,يظل/يبقى قائما و لو بعد انتهاء/فسخ العقد
SVC,,كولون
Swaziland,,سوازيلاند
Sweden,,السويد
Switzerland,,سويسرا
SYP,,ليرة سورية
Syria,,سوريا
SZL,,ليلانجيني
T-accounts,T|accounts,حسابات دفتر الأستاذ
Table of Contents,TOC,جدول المحتويات، الفهرس
Table of contents,Table|contents,قائمة/جدول المحتويات
Tackle a problem,Tackle|problem,يعالج مشكلة
Taiwan,,تايوان
Tajikistan,,طاجكستان
Takaful,,التكافل
Take over,Take|over,استحواذ
TAMDEEN REAL ESTATE COMPANY,REAL ESTATE|TAMDEEN,شركة التمدين العقارية
TAMEER REAL ESTATE INVEST. CO. K.S.C.C,INVEST|REAL ESTATE|TAMEER,شركة التعمير للاستثمار العقاري ش.م.ك
Tameer Real Estate Invest. Company,,شركة التعمير للإستثمار العقاري
Tangible assets,Tangible|assets|intangible,موجودات/أصول ملموسة
Tanzania,,تنزانيا
Tax,,ضريبة، رسم، اتاوة
Tax appeal,Tax|appeal,طعن ضريبي
Tax assessment,Tax|assessment,ربط ضريبي
Tax clearance certificate (TCC),TCC|Tax|certificate|clearance,شهادة مخالصة ضريبية
Tax declaration,Tax|declaration,إقرار ضريبي
Tax Decree,Decree|Tax,مرسوم ضريبي
Tax evasion,Tax|evasion,تهرب ضريبي
Tax exception,Tax|exception,إعفاء ضريبي
Tax extension,Tax|extension,تمديد ضريبي
Tax feasibility,,الجدوى الضريبية
Tax holiday,Tax|holiday,إعفاء ضريبي
Tax inspection,Tax|inspection,فحص ضريبي
Tax objection,Tax|objection,اعتراض ضريبي
Tax on which tax is payable,Tax|payable|tax,الدخل الذي تدفع عنه الضريبة
Taxability,,خضوع للضريبة، وعاء الضريبة، قدرة على أداء الضريبة
Taxable,untaxable,خاضع للضريبة
Taxable period,Taxable|period,الفترة الخاضعة للضريبة
Taxable year,Taxable|year,السنة الخاضعة للضريبة
Taxation,,فرض ضريبة، تحديد ضريبة، إخضاع للضريبة
Taxpayer,Tax payer,دافع الضريبة
TCC (Tax clearance certificate),TCC|Tax|certificate|clearance,شهادة مخالصة ضريبية
Tejan Perfumes,,شركة تيجان للعطور
Temporary Investment (Short Term Investments),Investment|Investments|Short|Temporary|Term,استثمار مؤقت (استثمار قصير الأجل) في الأوراق المالية
Tender,,مناقصة
Tenure,,شغل وظيفة، تول لمنصب، حيازة، الولاية أو مدتها، انتفاع بمكان
Term finance,Term|finance,تمويل لأجل
Territory/geographical jurisdiction,jurisdiction,اختصاص مكاني
Testimonial,,إشادة
Thailand,,تايلند
THB,,باهت
THE COMMERCIAL REAL ESTATE CO. K.S.C.C,COMMERCIAL|REAL ESTATE,الشركة التجارية العقارية ش.م.ك مقفلة
The court decides that,,قررت المحكمة
The court erred in ruling that…,,أخطأت المحكمة
The court finds that,,حكمت المحكمة
The court holds that,,رأت المحكمة
The court upheld the judgement of another court,court|judgement|upheld|uphold,أيدت المحكمة حكم أصدرته محكمة أخرى
THE INTERNATIONAL INVESTOR CO. (KSCC),INTERNATIONAL|INVESTOR,شركة المستثمر الدولي ش.م.ك.م
THE INVESTMENT DAR CO.(KSCC),DAR|INVESTMENT,شركة دار الاستثمار ش.م.ك.م
THE PUBLIC WAREHOUSING COMPANY,PUBLIC|WAREHOUSING,شركة المخازن العمومية
The Public Warehousing Company,,شركة المخازن العمومية
The Transport & Ware. Group,,شركة مجموعة النقل والتخزين
THE TRANSPORT & WARE. GROUP CO. (K. S. C.),GROUP|TRANSPORT|WARE,شركة مجموعة النقل والتخزين ( ش. م. ك)‏
TIJARA & REAL ESTATE INVESTMENT CO. KSCC,INVESTMENT|REAL ESTATE|TIJARA,شركة التجارة والاستثمار العقاري ش.م.ك.م
Time deposits,Time|deposits,ودائع لأجل
Time value,Time|value,القيمة الزمنية
Timing differences,,الفروقات الزمنية المؤقتة
TND,,دينار تونسي
To be taken up on suspicion,suspicion|taken up,أوقف احتياطيا
To challenge a judgement,,يطعن في حكم
To file a motiion for summary judgement,motiion|summary judgement,تقدم بطلب لإصدار حكم مستعجل
To move a case to another judge,,يحيل القضية إلى قاض أخر
TOC,,قائمة/جدول المحتويات
Togo,,توجو
Tonga,,تونجا
Top of A state agency,,وكالة حكومية تابعة لولاية
Total assets to equity,Total|assets|equity,إجمالي الموجودات إلى حقوق الملكية
Total current assets,Total|assets|current,إجمالي الموجودات المتداولة
Total current liabilities,Total|current|liabilities,إجمالي المطلوبات المتداولة
Total deductions,Total|deductions,مجموع الخصميات
Total equity,Total|equity,إجمالي الحقوق
Total equity and liabilities,Total|equity|liabilities,إجمالي الحقوق والمطلوبات
Total equity attributable to equity holders of Parent Company,Parent Company|Total|attributable|equity|holders,مجموع الحقوق العائدة لمساهمي الشركة الأم
Total equity attributable to equity holders of the parent,Parent Company|Total|attributable|equity|holders,مجموع الحقوق العائدة لمساهمي الشركة الأم
Total equity of the parent,Total|equity|parent|parent Company,إجمالي حقوق الشركة الأم
Total income,Total|income,إجمالي الدخل
Total incomings,Total|incomings,مجموع الدخل
Total liabilities and equity,Total|equity|liabilities,إجمالي الحقوق والمطلوبات
Total liabilities and shareholders’ equity,Total|equity|liabilities|shareholders,إجمالي المطلوبات وحقوق المساهمين
Total liabilities to equity,Total|equity|liabilities,إجمالي المطلوبات إلى حقوق الملكية
Total loss,Total|loss,إجمالي الخسارة
Total non current assets,Total|assets|current|non,إجمالي الموجودات غير المتداولة
Total non-current assets,Total|assets|non-current,إجمالي الموجودات غير المتداولة
Total non-current liabilities,Total|liabilities|non-current,إجمالي المطلوبات غير المتداولة
Total owner’s equity,Total|equity|owner,إجمالي حقوق المالك
Total owner’s equity and liabilities,Total|equity|liabilities|owner,إجمالي حقوق المالك والمطلوبات
Total sales,Total|sales,إجمالي المبيعات
Total shareholders' equity,Total|equity|shareholders,إجمالي حقوق المساهمين
Total shareholders’ equity and liabilities,Total|equity|liabilities|shareholders,إجمالي حقوق المساهمين والمطلوبات
"Total shareholders’ equity, minority interest and liabilities",Total|equity|interest|liabilities|minority|shareholders,إجمالي حقوق المساهمين وحقوق الأقلية والمطلوبات
Total stockholders equity,Total|equity|stockholders,إجمالي حقوق المساهمين
Trade,,تجارة ، معاملة تجارية ، تبادل تجاري، مهنة ، حرفة، صناعة
Trade name,Trade|name,اسم تجاري
Trade-off,,مبادلة، استبدال
Trading activities,Trading|activities,أنشطة المتاجرة
Trading investments,Trading|investments,استثمارات متاجرة/بغرض المتاجرة
Trading securities,Trading|securities,أوراق مالية للمتاجرة
Transaction,,عملية، معاملة، صفقة
Transaction-related contingent items,Transaction|contingent|items|related,معاملات متعلقة ببنود محتملة
Transactions,,معاملات
Transfer from retained earnings,Transfer|earnings|retained|retained earnings,المحول من أرباح مرحلة
Transfer of profit,Transfer|profit,تحويل الربح
Transfer of reserve for contribution to KAC to retained earnings,KAC|Transfer|contribution|earnings|reserve|retained,المحول من احتياطي حصة مؤسسة الخطوط الجوية الكويتية للأرباح المرحلة
"Transfer to furniture, fixture & equipment reserve",Transfer|equipment|fixture|furniture|reserve,المحول إلى احتياطي أثاث وتركيبات ومعدات
Transfer to Owners’ current account,Owners|Transfer|account|current,المحول إلى حساب جاري المالك
Transfer to Partners’ current account,Partners|Transfer|account|current,المحول إلى حساب جاري الشركاء
Transfer to partners’ current accounts,Transfer|accounts|current|partners,المحول إلى حسابات جاري الشركاء
Transfer to reserves,Transfer|reserves,المحول إلى الاحتياطيات
Transfer to statutory reserve,Transfer|reserve|statutory,المحول إلى الاحتياطي الإجباري
Transfer to voluntary reserve,Transfer|reserve|voluntary,المحول إلى الاحتياطي الاختياري
Transferability,,قابلية التحويل
Transferred money,Transferred|money,أموال محولة
Transfers,,تحويلات
Transfers and adjustments,Transfers|adjustments,تحويلات وتعديلات
Travelling expenses,Travelling|expenses,مصاريف سفر
Treasury Stock,Stock|Treasury,أسهم الخزينة
Treaty,,اتفاقية، معاهدة
Trial judge,,قاضي الموضوع
Trinidad and Tobago,Tobago|Trinidad,ترينداد وتوباجو
TRL,,ليرة تركية
Trustee fees,Trustee|fees,أتعاب أمانة
TTD,,دولار ترينداد وتوباجو
Tunisia,,تونس
Turkey,,تركيا
Turkmenistan,,تركمانستان
Tuvalu,,توفالو
TWD,,دولار تايوان الجديدة
TZS,,شلن تانزاني
Uganda,,أوغندا
UGS,,شلن أوجندي/أوغندي
Ukraine,,أوكرانيا
UMM AL-QAIWAIN CEMENT INDUSTRIES COMPANY,AL-QAIWAIN|CEMENT|INDUSTRIES|UMM,شركة صناعات أسمنت أم القيوين
Unaccounted for,,مفقودون
Unallocated revenue,Unallocated|revenue,إيرادات غير موزعة
Uncalled capital contributions,Uncalled|capital|contributions,مساهمات رأسمالية غير مطالب بها
Uncertainties,,شكوك
Understandability,,قابلية الفهم
Underwriting,,اكتتاب، ضمان الاكتتاب
Undrawn loan commitments,Undrawn|commitments|loan,التزامات قرض غير مسحوب
Unfunded,,غير ممول
UNION REAL ESTATE CO. (KSCC),REAL ESTATE|UNION,شركة الاتحاد العقارية ش.م.ك.م
Union Real Estate Company,,شركة الاتحاد العقارية
Unique Selling Proposition (USP),Selling Proposition|USP,عرض بيع فريد
Unit capital,Unit|capital,رأس مال الوحدة
Unit holders,Unit|holders,حاملو الوحدات
Unit surplus,Unit|surplus,فائض الوحدات
United Arab Emirates,AE|ARE|UAE,الإمارات العربية المتحدة
UNITED FISHERIES OF KUWAIT,FISHERIES|KUWAIT|UNITED,شركة الأسماك الكويتية المتحدة
United Fisheries Of Kuwait,,شركة الأسماك الكويتية المتحدة
UNITED FOODSTUFF INDUSTRIES GROUP CO.,FOODSTUFF|GROUP|INDUSTRIES|UNITED,شركة المجموعة المتحدة للصناعات الغذائية
United Foodstuff Industries Group Company,,شركة المجموعة المتحدة للصناعات الغذائية
UNITED GULF BANK (B.S.C) E.C,BANK|GULF|UNITED,بنك الخليج المتحد ش.م.ب.م
UNITED INDUSTRIES CO. (K.S.C.CLOSED),INDUSTRIES|UNITED,شركة الصناعات المتحدة ش.م.ك
United Industries Company,,شركة الصناعات المتحدة
United Kingdom,UK,المملكة المتحدة
United Nations Compensation Commission (UNCC),Commission|Compensation|Nations|UNCC|United,لجنة تعويضات الأمم المتحدة
UNITED PROJECTS GROUP K.S.C.C,GROUP|PROJECTS|UNITED,شركة المشاريع المتحدة للخدمات الجوية
UNITED REAL ESTATE COMPANY,REAL ESTATE|UNITED,شركة العقارات المتحدة
United Real Estate Company,,شركة العقارات المتحدة
United States,States|United,الولايات المتحدة
Units issued,Units|issued,وحدات مصدرة
Units redeemed,Units|redeemed,الوحدات المستردة
"Unmatured spot, forward and futures contracts",Unmatured|contracts|forward|futures|spot,عقود فورية وآجلة ومستقبلية غير مستحقة
Unquote,,يختم كلاماً مقتبساً
Unquoted,,غير مسعر، غير معلن، غير مدرج
Unquoted price,Unquoted|price,سعر غير معلن
Unquoted securities,Unquoted|securities,أوراق مالية غير مسعرة
Unrealized (loss) / gain,Unrealized|gain|loss,(خسارة)/ربح غير محقق
Unrealized (loss)/gain from investments held for trading,Unrealized|gain|held|investments|loss|trading,الخسارة/(الربح) غير المحقق من استثمارات للمتاجرة
Unrealized (loss)/gain on available for-sale-investments,Unrealized|available for sale investments|gain|loss,(خسارة)/ربح غير محقق من استثمارات متاحة للبيع
Unrealized (loss)/gains on trading investments,Unrealized|gains|investments|loss|trading,(خسائر)/أرباح غير محققة من استثمارات للمتاجرة
Unrealized gain,Unrealized|gain,ربح غير محقق
Unrealized gain from investment held for trading,Unrealized|gain|held|investment|trading,الربح غير المحقق من استثمارات للمتاجرة
Unrealized gain from investments,Unrealized|gain|investments,ربح غير محقق من استثمارات
Unrealized gain on available for sale investments,Unrealized|available for sale|gain|investments,ربح غير محقق من استثمارات متاحة للبيع
Unrealized gain on available-for-sale assets,Unrealized|available for sale assets|gain,ربح غير محقق من موجودات متاحة للبيع
Unrealized gain/(loss) on investments available for sale,Unrealized|available for sale|gain|investments|loss,ربح/(خسارة) غير محققة من استثمارات متاحة للبيع
Unrealized gains on financial investments at fair value – statement of income,Unrealized|fair value|financial|gains|investments|statement of income,أرباح غير محققة من استثمارات مالية بالقيمة العادلة – بيان الدخل
Unrealized gains/(loss) on investments held for trading,Unrealized|gains|held for trading|investments|loss,أرباح/(خسائر) غير محققة من استثمارات للمتاجرة
Unrealized loss /(gain) on investments held for trading,Unrealized|gain|held for trading|investments|loss,الخسارة/(الربح) غير المحقق من استثمارات للمتاجرة
Unrealized loss on investment available for sale,Unrealized|available for sale|investment|loss,خسارة غير محققة من استثمارات متاحة للبيع
Unrealized loss on investments held for trading,Unrealized|held for trading|investments|loss,خسارة غير محققة من استثمارات للمتاجرة
"Unrealized loss on investments, held for trading",Unrealized|held for trading|investments|loss,خسارة غير محققة من استثمارات للمتاجرة
Unrealized loss/(gain) from investments held for trading,Unrealized|gain|held for trading|investments|loss,الخسارة/(الربح) غير المحقق من استثمارات للمتاجرة
Unrealized loss/(gain) on investments available-for-sale,Unrealized|available for sale|gain|investments|loss,خسارة/(ربح) غير محقق من استثمارات متاحة للبيع
Unrestricted donations,Unrestricted|donation,تبرعات مطلقة
Untaxable,intaxable|taxable,غير خاضع للضريبة
Up-front,,دفعة مقدمة، مقدما
Upstream operations,,عمليات التنقيب والبحث واستخراج النفط
Urban Settings,,المحيط الحضري، البيئة الحضرية، المناطق الحضرية
Uruguay,,أوروجواي
USD,$|buck|bucks,دولار أمريكي
Use of cash,cash,استخدامات النقدية
Useful life,Useful|life,عمر إنتاجي
USN,,دولار أمريكي (اليوم التالي)
USS,,دولار أمريكي (نفس اليوم)
UYP,,بيزو أوروجواي
Uzbekistan,,أوزباكستان
Value creation,,إنشاء القيمة
Value stock,,أسهم ذات قيمة اسمية
Value-at-risk (VaR),VaR|Value|risk,القيمة المعرضة للمخاطر
Vanuatu,,فانواتو
Vatican City,Vatican,الفاتيكان
Vendor,,البائع، مقدم الخدمة
Venezuela,,فنزويلا
Vessel,,سفينة، باخرة
Vietnam,,فيتنام
VND,,دونج VEB بوليفار
Volatility,,الحساسية
Voluntary reserve,Voluntary|reserve,احتياطي اختياري
VUV,,تالا
W.L.L Co.,LLC|WLL,شركة ذات مسؤولية محدودة
Wakala,Wakalah,وكالة
Walkthrough,,عمليات مراجعة
WARBA INSURANCE COMPANY,INSURANCE|WARBA,شركة وربة للتأمين
Warba Insurance Company,,شركة وربة للتأمين
Weighted average,Weighted|average,المتوسط المرجح
Weighted average number of outstanding shares,Weighted|Weighted average|average|number|outstanding|shares,المتوسط المرجح لعدد الأسهم القائمة
Weighted average number of shares,Weighted|average|number|shares,المتوسط المرجح لعدد الأسهم
Western Sahara,Sahara|Western,الصحراء الغربية
Wethaq Takaful Insurance Company,,شركة وثائق للتأمين التكافي
WETHAQ TAKAFUL INSURANCE COMPANY K.C.S.C,INSURANCE|TAKAFUL|WETHAQ,شركة وثاق للتأمين التكافلي ش.م.ك مقفلة
Whatever-it-takes,,مهما كلف الأمر، الاسـتعداد للقيام بكل ما يلزم
Wholly paid up capital,Wholly|capital|paid up,رأس المال المدفوع بالكامل
With reference to,reference,بالإشارة إلى
Working Capital,Capital|Working,رأس المال العامل
Writ of right,,دعوى حقوقية
Write back,Write|back,استرداد
Write off,Write,شطب، استبعاد
Written off,Written,مشطوبة، مستبعدة
YDD,,دينار يمني (اليمن الديمقراطية)
Yemen,,اليمن
YER,,ريال يمني
Yield–bearing,,المحملة بفائدة
YUD,,دينار يوغوسلافي
ZAL,,راند
Zambia,,زامبيا
ZAR,,راند
Zimbabwe,,زيمبابوي
ZMK,,كواشا
ZRZ,,زائير
ZWD,,دولار زيمبابوي
£,,جنيه إسترليني
¥,,ين ياباني
€,,يورو
