Source,German/Dutch,Arabic
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAsset appreciation,زيادة قيمة أصل (أوراق مالية، عقار، الخ)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAssign a value to a parameter,عين قيمة على أساس ثابتة معينة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Assign, to",عين، خصص، اسند، كلف بالحضور، حوله، فوض، تنازل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assignment,تخصيص، تنازل، حوالة، نقل ملكية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,X'Assignment for the benefit of creditors,عقد تنازل عن أموال المفلس لصالح الدائنين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAssignment of choses in action,تنازل عن الحق المتنازع عليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"P""Assignment of counsel to defendant",تعيين محام من قبل المحكمة للمدعى عليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,P%Assignment of property (to creditors),تنوع عن الممتلكات (لصالح الدائنين)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assistance,مساعدة، معرفة، إعانة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assistant,مساعد، معاون، كاتب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAssistant administrator,مفوض مساعد، مفوض من الدرجة الثانية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Associate,شريك، مرتبط، زميل منتسب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Associated,متحد، منضم. تابع، ملحق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAssociated stock exchanges,اتحاد أسواق الأوراق المالية (بورصات)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assortment,تصنيف، تشكيلة، مجموعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Assume, to",تولي، افترض، اكتتب في، اختص، ادعي، زعم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assumpsit,تعهد بسيط، التزام، وعد شفهي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assurance,تأمين، تعهد، تأكيد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Assure, to",أكد، عزز، أمن، ضمن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Astronaut,رائد فضاء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,H&Astronomical theory of the trade cycle,نظرية فلكية لدورة التجارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Asymmetric,غير مماثل، غير متماثل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Asymmetry,عدم تماثل، عدم تناسق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,D#Asymmetry between supply and demand,عدم تماثل العرض مع الطلب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,At a loss,بخسارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,At leisure,بتمهل ، على مهل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,At parity,بسعر التعادل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,At random,عشوائيا ، بالصدفة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,At usance,حق 30 يوما
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attachment,مرتب متعلق ب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Attack, to",هاجم، طعن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attainable,ممكن تحقيقه، ممكن الوصول إليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attainder,مصادرة أموال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attainment,تحقيق، وصول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAttainment of ceiling,نفاذ الاعتمادات، وصول إلى سقوف الاعتمادات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAttainment of the objectives,تحقيق الأهداف، الوصول إلى الأهداف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Attend, to",حضر، واظب، اهتم، عني، تفرغ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attendance,مواظبة، حضور، اهتمام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAttendance book ; - register,دفتر الحضور والانصراف، سجل --
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attendant,تابع، مُبَاشر، طبيب أسرة، خادم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attention,عناية، رعاية، اهتمام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Attest, to",شهد، قرر، صدق على
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attestant,شاهد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attraction,استرعاء، جاذبية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attractive,ملفت، جذاب، مغر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Attributes,خصائص، صفات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Audit fees,أتعاب مراجعي الحسابات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Audit tees,أتعاب مراقب الحسابات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"CAudit the accounts, to",راجع الحسابات دقق-، صدق على الحسابات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Audit, to",راجع، فحص، دقق (الحسابات)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Auditorium,قاعة استماع،- اجتماعات، - تسجيل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Auricular,سماعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Authentic,أصيل، رسمي، أصلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,MAuthenticated copy,صورة مصدق عليها، صورة معتمدة طبق الأصل، صورة رسمية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAuthenticated documents,مستندات رسمية، مستندات مصدق عليها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Authority,سلطة، هيئة، !دارة، تفويض، تصريح جماعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JAuthority of the final decision,حجة الشيء المقضي به،-- المحكوم فيه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Authorized,مصرح به، مقبول، موافق عليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAuthorized annotation,تعليق مصرح به، شرح رسمي، تفسير رسمي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAuthorized depositary,مُرخص له بقبول ودائع أو أوراق مالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,J Authorized foreign exchange bank,مصرف معتمد للتعامل بالنقد الأجنبي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Auto (US),سيارة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Automated,الكتروني، آلى، تلقائي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"O""Automated Clearing House (ACH)(US)",مقاصة إلكترونية بين البنود الأمريكية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,B Automated data proccessing (ADP),تبويب المعلومات إلكترونيا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAutomated production management,إدارة إنتاج منظمة إلكترونيا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,N)Automated Real-time In vestments Exchange,الأوراق المالية بكميات كبيرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KAutomated teller machine (ATM),آلة خدمة تلقائية (صرف- تحويل- إيداع)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Automatic,تلقائي،آلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,J'Automatic data processing system (ADPS),نظام معالجة المعلومات أليا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Automation,أداء آلي، أداء تلقائي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Autonomous,مستقل بذاته
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Auxiliary,مساعد، إضافي، معاون
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAvailability,إمكان حصول الشيء، وقوعه، توفره ، كونه متاحا، متاح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Availment,توفر، وقوع، حصول، صلاحية، إتاحة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAverage durability of capital,معدل عمر التجهيزات الرأسمالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,hAverage durability of capital,متوسط طول زمن استثمار رأس المال ، متوسط عمر الاستثمارات الرأسمالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAverage earnings per hour,متوسط الربح بالساعة، معدل العائد/ ساعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAverage hourly earnings,معدل الإيراد / ساعة ، معدل الأجر/ ساعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAverage life (bonds),متوسط الأجل (سندات)، متوسط تواريخ الاستحقاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KAverage productivity,إِنْتَاجِيَّة متوسطة ، متوسط اَلْإِنْتَاجِيَّة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,NAverage propensity to consume,متوسط سلوك المستهلك، متوسط نزوع المستهلك
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Avoid, to",ألغي، تجنب، تفادي، فسخ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Avoidance,إلغاء، إبطل، فسخ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAvoirdupois (Weigh),نظام الموازين التجارية الانجلوساكسونية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Avouch, to",أقر، أكد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Avouchment,إقرار، تأكيد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Await, to",انتظر، توقع، ترقب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IAward,قرار بمنح جائزة، قرار محكمة، لجنة تحكيم، تعويض، محرر بالحكم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Award, to",منح، حكم، قضي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Awareness,وعى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Axiom set,بَدِيهِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Back order,متأخرات من طلب شراء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Back rent,متأخر إيجار، أجرة متأخرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Back value,استحقاق سابق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Back-bond,رهن على ممتلكات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Back-door,باب خلفي، تحايل، أسلوب غير مباشر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Background,خلفية، سابقة، تجربة، معلومات عامة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Backslider,عائد فى ارتكاب الخطا، مرتد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,OBackward method,أسلوب رجعي، أسلوب غير مباشر تأجيل لصالح البائع (بورصة)،
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Bad cheque,شيك بدون رصيد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Bad claim,مطالبة لا أساس لها، دائنية مشكوك فيها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Bad faith,سوء نية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Bad In law,عير قانوني، غير شرعي
